Username,Message,Timestamp
@avantikasharma6636,HAPPY GURU PURNIMA SIR,2026-07-29 06:36:52
@SanjnaRoy-m9b,Good afternoon sir ji ,2026-07-29 06:36:52
@BandanaKumari-qm1gt,happy gurupurnima Sir,2026-07-29 06:36:57
@deepaksenapati7145,ready hm sab,2026-07-29 06:36:57
@rangilithakur9976,happy Gurupurnima sir ,2026-07-29 06:36:57
@arorafamily135,Radhe Radhe Sir,2026-07-29 06:36:57
@Ruchika-m7e,,2026-07-29 06:36:57
@ananyagupta5397,Good afternoom sir ji,2026-07-29 06:36:57
@nishasharnagat7837,,2026-07-29 06:36:57
@apnibrijbhumi,kahan ho sir,2026-07-29 06:36:57
@nibeditasutar4348,good afternoon sir,2026-07-29 06:36:57
@deepaksenapati7145,ready,2026-07-29 06:36:57
@Shaluprajapati123-j,happy guru purnima sir o,2026-07-29 06:36:57
@anshikaarora702,Good Afternoon Sir ,2026-07-29 06:37:02
@sweetymallick8519,Good afternoon sir Happy Guru Purnima apko pranam ,2026-07-29 06:37:02
@JyotiKumari-w5r1u,happy Guru Purnima sir ,2026-07-29 06:37:02
@jigyashagupta574,happy guru purnima sir,2026-07-29 06:37:02
@shakuntlakumari9944,happy Guru Purnima sir ,2026-07-29 06:37:02
@AmitM-o5h8r,GOOD AFTERNOON SIR  HAPPY GURUPURNIMA SIR JI,2026-07-29 06:37:02
@DikshaDume,Happy Guru Poornima ,2026-07-29 06:37:02
@snehasingh-fj8rj,,2026-07-29 06:37:02
@lakshmikumari2352,Happy Guru Purnima sir ji,2026-07-29 06:37:02
@agood-z2j,,2026-07-29 06:37:07
@Sayyadzoya661,Good afternoon sir,2026-07-29 06:37:07
@NitanshiGupta-h2j,,2026-07-29 06:37:07
@swatichawan16,,2026-07-29 06:37:07
@NishitaGore-o3h,good afternoon sir ji ,2026-07-29 06:37:12
@motivationwithme98-j8,happy gurupurnima guru ji ,2026-07-29 06:37:12
@Lishu-u4e,happy gurupurnima sir,2026-07-29 06:37:12
@nibeditasutar4348,happy gurupurnima sir,2026-07-29 06:37:12
@NIDHI...MISHRA.0511,HAPPY GURU PURNIMA SIR JII,2026-07-29 06:37:12
@renuBharti-n7x,happy gurupurnima sir,2026-07-29 06:37:12
@shursenpvtltd4872,happy gurupurnima sir ,2026-07-29 06:37:12
@kavitakhatik446,happy Guru Purnima sir ,2026-07-29 06:37:12
@sukhendrasingh5426,,2026-07-29 06:37:12
@sudhirkumar-qi2mh,jai ho premanand maharaj ki,2026-07-29 06:37:12
@adityaprajapati7368,Good Afternoon sir,2026-07-29 06:37:12
@Bhumija173,Happy guru purnima guru ji,2026-07-29 06:37:12
@SatyamDubey-p3l,happy gurupurnima sir,2026-07-29 06:37:17
@ananyagupta5397,Happy Gurupurnima sir ,2026-07-29 06:37:17
@PreetiBunkar-my2np,happy guru purnima srr ,2026-07-29 06:37:17
@Shilpa__175,Happy guru purnima Guru ji ,2026-07-29 06:37:17
@gaurigupta1726,Happy Guru purnima,2026-07-29 06:37:17
@anshikaarora702,,2026-07-29 06:37:22
@pushpanjaliyadav2513,happpy guru purnima sir ji ,2026-07-29 06:37:22
@SezalKaushal,,2026-07-29 06:37:22
@khushbunagda8940,good afternoon sir guru purnima ka pranam ,2026-07-29 06:37:22
@jagruti793,happy gurupurnima gurudevji,2026-07-29 06:37:22
@monikamalviya4114,happy guru purnima guruji,2026-07-29 06:37:22
@prachimina8923,happy Gurupurnima Sir ,2026-07-29 06:37:22
@megha_1510,Happy Guru Purnima Guru Ji,2026-07-29 06:37:22
@PallaviSinghAntika,happy gurupurnima sir,2026-07-29 06:37:22
@Sahil-b4w2r,kaha ho sir,2026-07-29 06:37:22
@nupursharma919,HAPPY GURU PURNIMA SIR ,2026-07-29 06:37:28
@sambitsubhankar6790,,2026-07-29 06:37:28
@yogeshsharma6862,happy gurupurnima sir,2026-07-29 06:37:33
@vishnusingh0220,,2026-07-29 06:37:33
@agood-z2j,good morning,2026-07-29 06:37:33
@SakshiSharma-v3p,,2026-07-29 06:37:33
@poonamsingh9484,good afternoon sir ji,2026-07-29 06:37:33
@Mahadev_gto74,happy guru purnima sir ,2026-07-29 06:37:33
@manimerajvinesofficial786,premanand maharaj ji ka jai ho ,2026-07-29 06:37:33
@Chandan2.oooooo,guru ki charan mai mera sat sat naman sir mera pranam swakar kare ,2026-07-29 06:37:33
@swatichawan16,GOOD AFTERNOON SIR,2026-07-29 06:37:33
@TanujYaduvanshi31,ji sir swasth mast jabardast,2026-07-29 06:37:38
@coolDipanshu96,mast,2026-07-29 06:37:38
@kushangchaudhari2088,HAPPY GURUPURNIMA SIR  (charan sparsh),2026-07-29 06:37:38
@shivanipal709,ek dam mt,2026-07-29 06:37:38
@khushi_gupta..5039,happy gurupurnima sir ,2026-07-29 06:37:38
@mahiyadav1573,msstttt,2026-07-29 06:37:38
@Sahil-b4w2r,Mast,2026-07-29 06:37:38
@sathish3034,HAPPY GURU PURNIMA SIR,2026-07-29 06:37:38
@renuBharti-n7x,good afternoon sir,2026-07-29 06:37:44
@divyanshbagla,MST JABARDAST,2026-07-29 06:37:44
@sambhabasahu9727,GOOD AFTERNOON SIR,2026-07-29 06:37:44
@arorafamily135,Happy Gurupurnima Sir Radhe Radhe,2026-07-29 06:37:44
@SURESHKUMAR-xp7jv,happy gurupurnima,2026-07-29 06:37:44
@SakshiSharma-v3p,BHUT BADIYA SIR ,2026-07-29 06:37:44
@muskankarn01,MST SIR,2026-07-29 06:37:44
@twinklesingh9684,happy Guru Purnima sir,2026-07-29 06:37:44
@BANKERSANDHYA,happy Guru Purnima guru ji,2026-07-29 06:37:44
@harishkumar-banker,pranam guru ji Guru Purnima ki subhkamnaye,2026-07-29 06:37:44
@gaurigupta1726,yhhhhh sirrrrr ,2026-07-29 06:37:44
@shakuntlakumari9944,mast sir,2026-07-29 06:37:44
@Rashmi-v2m2o,acche sir,2026-07-29 06:37:44
@AshlekaKalva-k6y5w,good afternoon sir ji,2026-07-29 06:37:44
@NIDHI...MISHRA.0511,,2026-07-29 06:37:44
@patelkurmi8448,badiya sir ji,2026-07-29 06:37:44
@shivanipal709,ek dam mst sir,2026-07-29 06:37:44
@atulanand9159,VOLUME,2026-07-29 06:37:44
@kavitakiradae,happy guru Purnima sir ji,2026-07-29 06:37:44
@Vaishnavi-i4f,Happy guru Purnima sir,2026-07-29 06:37:44
@kalpana-n4l4z,mst,2026-07-29 06:37:44
@nancykundal85,good afternoon sir ji ,2026-07-29 06:37:44
@deepaksenapati7145,happy Guru Purnima sir,2026-07-29 06:37:44
@SatyamDubey-p3l,badhiya,2026-07-29 06:37:44
@sambhabasahu9727,SAB MAST,2026-07-29 06:37:49
@manishdewangan1070,mast sir ji,2026-07-29 06:37:49
@JyotiKumari-w5r1u,sb badhiya hai si,2026-07-29 06:37:49
@shakuntlakumari9944,aap kaise h,2026-07-29 06:37:49
@SURESHKUMAR-xp7jv,,2026-07-29 06:37:49
@aartipandit2585,happy gurupurnima sir,2026-07-29 06:37:49
@ANJALISINGH-bv1uc,happy guru purnima sir,2026-07-29 06:37:49
